Index,Book Name,Author,Rating,Number of Votes,Score
1,The Invisible Life of Addie LaRue,Victoria Schwab,4.18,"1,184,531",62443
2,"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,4.40,"718,243",47323
3,Project Hail Mary,Andy Weir,4.51,"657,869",45972
4,The Midnight Library,Matt Haig,3.99,"1,967,348",42746
5,I'm Glad My Mom Died,Jennette McCurdy,4.46,"1,151,831",37509
6,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,4.57,"2,071,618",32490
7,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,3.96,"853,601",24060
8,Piranesi,Susanna Clarke,4.23,"323,496",23238
9,Lessons in Chemistry,Bonnie Garmus,4.29,"1,444,923",23130
10,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,4.47,"815,164",20610
11,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,4.15,"1,037,972",20547
12,My Dark Vanessa,Kate Elizabeth Russell,4.10,"360,089",20223
13,"A Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.47,"1,440,061",19855
14,The Vanishing Half,Brit Bennett,4.14,"786,310",19749
15,Beach Read,Emily Henry,"really liked it
4.00","1,304,135",19244
16,The Love Hypothesis,Ali Hazelwood,4.13,"1,513,373",18531
17,Babel,R.F. Kuang,4.17,"283,448",17606
18,Malibu Rising,Taylor Jenkins Reid,4.03,"1,118,674",15949
19,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,4.15,"831,277",14214
20,Book Lovers,Emily Henry,4.13,"1,227,947",13253
21,The Four Winds,Kristin Hannah,4.30,"752,909",12053
22,Under the Whispering Door,T.J. Klune,4.15,"255,962",11155
23,Remarkably Bright Creatures,Shelby Van Pelt,4.38,"747,337",10951
24,Crying in H Mart,Michelle Zauner,4.26,"472,954",10690
25,American Dirt,Jeanine Cummins,4.37,"606,994",10493
26,"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,4.56,"458,194",10472
27,Mexican Gothic,Silvia Moreno-Garcia,3.67,"381,889",10230
28,Carrie Soto Is Back,Taylor Jenkins Reid,4.21,"582,332",10119
29,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,3.88,"554,250",9686
30,The Guest List,Lucy Foley,3.81,"1,092,078",9509
31,Sea of Tranquility,Emily St. John Mandel,4.07,"255,450",9469
32,Hamnet,Maggie O'Farrell,4.20,"278,386",9414
33,"Divine Rivals (Letters of Enchantment, #1)",Rebecca Ross,4.19,"522,099",9312
34,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,4.47,"570,729",9220
35,"A Deadly Education (The Scholomance, #1)",Naomi Novik,3.96,"186,078",9018
36,Klara and the Sun,Kazuo Ishiguro,3.74,"366,566",8602
37,Caste: The Origins of Our Discontents,Isabel Wilkerson,4.53,"145,545",7808
38,People We Meet on Vacation,Emily Henry,3.86,"1,294,381",7596
39,Demon Copperhead,Barbara Kingsolver,4.50,"522,793",7576
40,Bell Hammers,Lancelot Schaubert,4.16,662,7575
41,Loveless,Alice Oseman,4.20,"108,870",7409
42,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,4.35,"1,384,554",7243
43,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,4.23,"652,547",6753
44,"Network Effect (The Murderbot Diaries, #5)",Martha Wells,4.47,"94,624",6720
45,"One of Us Is Next (One of Us Is Lying, #2)",Karen M. McManus,3.91,"247,549",6648
46,"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,4.60,"404,026",6313
47,"Legendborn (The Legendborn Cycle, #1)",Tracy Deonn,4.33,"149,321",5812
48,"Chain of Gold (The Last Hours, #1)",Cassandra Clare,4.38,"110,522",5559
49,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,4.62,"166,878",5465
50,"The Burning God (The Poppy War, #3)",R.F. Kuang,4.30,"105,626",5462
51,"A Psalm for the Wild-Built (Monk & Robot, #1)",Becky Chambers,4.26,"130,094",5346
52,Cloud Cuckoo Land,Anthony Doerr,4.26,"232,060",5252
53,The Glass Hotel,Emily St. John Mandel,3.69,"180,282",5131
54,"Rule of Wolves (King of Scars, #2)",Leigh Bardugo,4.35,"158,591",4900
55,"The Maid (Molly the Maid, #1)",Nita Prose,3.76,"601,905",4845
56,A Promised Land,Barack Obama,4.33,"241,230",4796
57,Untamed,Glennon Doyle,3.99,"465,230",4653
58,Transcendent Kingdom,Yaa Gyasi,4.11,"152,343",4594
59,"These Violent Delights (These Violent Delights, #1)",Chloe Gong,3.83,"154,010",4578
60,Shuggie Bain,Douglas Stuart,4.31,"163,709",4572
61,Greenlights,Matthew McConaughey,4.21,"362,818",4518
62,"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly Jackson,4.29,"593,390",4504
63,Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall,4.37,"54,935",4442
64,The Rose Code,Kate Quinn,4.45,"285,773",4410
65,Yellowface,R.F. Kuang,3.76,"641,760",4312
66,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,4.36,"138,517",4016
67,Firekeeper’s Daughter,Angeline Boulley,4.33,"170,689",3948
68,"Cemetery Boys (Cemetery Boys, #1)",Aiden Thomas,4.27,"97,471",3927
69,Writers & Lovers,Lily King,4.01,"150,895",3848
70,"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,4.30,"122,664",3701
71,The Sun Down Motel,Simone St. James,4.01,"162,154",3661
72,Tress of the Emerald Sea,Brandon Sanderson,4.38,"157,891",3555
73,The Push,Ashley Audrain,4.05,"371,278",3534
74,Ring Shout,P. Djèlí Clark,3.99,"38,385",3342
75,"The Spanish Love Deception (Spanish Love Deception, #1)",Elena Armas,3.82,"731,358",3305
76,Felix Ever After,Kacen Callender,4.24,"63,436",3304
77,"Take a Hint, Dani Brown (The Brown Sisters, #2)",Talia Hibbert,4.01,"103,738",3302
78,Long Bright River,Liz Moore,4.04,"118,876",3296
79,"The Henna Artist (The Jaipur Trilogy, #1)",Alka Joshi,4.19,"189,390",3291
80,The Book of Longings,Sue Monk Kidd,4.23,"129,550",3251
81,The Girl with the Louding Voice,Abi Daré,4.43,"157,251",3210
82,"The Empire of Gold (The Daevabad Trilogy, #3)",S.A. Chakraborty,4.50,"61,604",3184
83,"The Mirror & the Light (Thomas Cromwell, #3)",Hilary Mantel,4.39,"41,120",3100
84,Happy Place,Emily Henry,3.98,"1,071,194",2906
85,Billy Summers,Stephen King,4.20,"167,384",2892
86,"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,4.34,"456,514",2884
87,"The City We Became (Great Cities, #1)",N.K. Jemisin,3.86,"73,081",2874
88,Home Before Dark,Riley Sager,4.07,"223,593",2747
89,Clap When You Land,Elizabeth Acevedo,4.24,"104,220",2728
90,"The Guncle (The Guncle, #1)",Steven Rowley,4.13,"158,660",2686
91,Dear Edward,Ann Napolitano,4.08,"193,309",2657
92,The Book of Lost Names,Kristin Harmel,4.43,"225,508",2607
93,"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,4.11,"222,680",2598
94,One to Watch,Kate Stayman-London,3.88,"95,104",2510
95,The Dictionary of Lost Words,Pip Williams,4.02,"156,716",2474
96,Oona Out of Order,Margarita Montimore,3.86,"87,075",2450
97,The Death of Vivek Oji,Akwaeke Emezi,4.13,"62,746",2435
98,The Switch,Beth O'Leary,3.95,"134,746",2276
99,Migrations,Charlotte McConaghy,4.13,"79,728",2217
100,The Hollow Places,T. Kingfisher,3.80,"40,203",2209
101,The Night Watchman,Louise Erdrich,4.10,"79,990",2104
102,Hidden Valley Road: Inside the Mind of an American Family,Robert Kolker,4.16,"130,582",2103
103,The Women,Kristin Hannah,4.63,"741,401",2034
104,In a Holidaze,Christina Lauren,3.70,"183,649",2004
105,"The Housemaid (The Housemaid, #1)",Freida McFadden,4.32,"1,601,523",1977
106,The Last Flight,Julie Clark,4.10,"229,993",1973
107,"One Dark Window (The Shepherd King, #1)",Rachel Gillig,4.30,"282,139",1956
108,The Book of Two Ways,Jodi Picoult,3.66,"101,225",1871
109,28 Summers,Elin Hilderbrand,4.19,"228,748",1784
110,The Book of Lost Friends,Lisa Wingate,4.16,"106,743",1772
111,"The Winners (Beartown, #3)",Fredrik Backman,4.45,"127,209",1749
112,Love on the Brain,Ali Hazelwood,3.91,"506,015",1749
113,"The Empress of Salt and Fortune (The Singing Hills Cycle, #1)",Nghi Vo,3.94,"38,098",1715
114,The Lincoln Highway,Amor Towles,4.23,"276,987",1707
115,Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,4.54,"112,898",1671
116,All Boys Aren’t Blue,George M. Johnson,4.20,"40,315",1635
117,The Pull of the Stars,Emma Donoghue,3.96,"82,440",1635
